prolific_id,story_presses,story,p_type
5cdeaeb3557fbd00018a2c59,9191191911911111191191199111,44,np
5ea07ccfcc5aed04bc7e4148,91119111111111911191111191111111111911911,11,np
5d0e2a06facd7500197a46e3,119119111119191919919111119191,21,loc
5e84ab6c1c387d0424a1b662,9911911919111199119911119119111,12,soc
5c1cfb57e2d9150001b5975b,911991911199191919911111191911119999919,23,loc
5c4271f51b4bf300018b0920,9111191911191111191191191111,44,np
5d80f95b43119f0015986eb1,91911119119111191991999111999991,33,np
5bc9e924e642db0001d3a1c5,19919999111111991191191119111999,33,soc
5e7b804f9379140478c688da,111111919111111111911111111111,21,soc
5cea26087afd86001a34a5db,111111911111111111119111111111111119111,23,np
597cb71cd4e83700016c35b2,111911911111111111191111111911111111119,23,loc
5eac5376dfc1010c08a633bb,9991191111919111919111191911191,13,soc
5deae08fe4f84020dfafac72,99119911991111999111191191919911,33,np
5e3f032709a1141608164346,91911111111119919111111111911119919,42,loc
58af6fa166d1330001eebaab,91919111191111111111911191111111111111911,11,np
5cc482bd8d2a1e001885c450,91111111111111111191111111111111,33,np
5e70f95a7b8fa90009292b14,111911919119111919111191911,34,loc
5e14da8da29f4b000ccc9b1d,911911911119119191191111911111111,32,np
5ca50e54edf90d0001846c14 ,911111991111111911111111111111111119111,23,soc
5d02c0e382e4f00001aa20cd,91111111111911111191111111111,43,soc
5d4af994c2eac9001a6a7a33,1111111119991911111119911119111111111,41,loc
5e9c9ba01243491be8fe4bdf,9991111119111111111111111119111111911,22,np
5eb5f6d5e38e9f4e6c8dde3f,111111119911111911111111111,34,np
5ccdb020ed1c4f001649810e,9191191911911111991191199111,44,loc
5e0940924cac6822f3574032,9111111111111111111111111191111111911,22,soc
5d4ad488dfd8230018fd0b45,919119999119111191111111911111111,32,loc
5c8a2d11f7ab04001042af3c,11991991111119919191111911111119191,42,soc
5eb2e03e93516108a92d3d96,91119119111919111191191119111,43,np
5d2e1f674819d00019efd516,1119911911111111191191199111,44,soc
5b29a5197297750001c75a5b,19191111119999111191111919111,43,loc
5d4200720eddc0000173e988,1119111119119111111111111111111111111,22,loc
5eb882738aa2327d047dd79b,11919191191119191191119199111191919991199,11,loc
5b4991de56e0140001acb76b,91111111111911111111911111119111,24,soc
 5ea945b5692da4020240a251,11111191191119119111111111911111119,42,loc
5e013bff839079d2336c9b06,111111111111199999111191119111191,14,np
5ec7a3794f89b8205c25fba3,911111919119111919111191911,34,loc
5c17c149f596b100011ca8b8,111119119119991119919111111191,21,loc
5b88,99999111111111111191119111111991,33,np
5d9f8573ce3daf0015e3e400,1199111111111111191111111911119111191,22,np
5ecc7ff92fdab685b971ab4b,919111911119111191191119991111191,32,soc
5e19b97a8a76fb239d3e33d6,911119911191911911919111911919119999911,23,np
5e9375259c9687000b26ec11,91191111119111191191991119199991,24,loc
562a00dac8ffc20012513fbe,99111111111119119999111111991111199,42,loc
5ed9232765948647682f2a62,911911919911199991119199119111911,14,np
5bc690392885710001a0bb76,9911911911191111191911919119191,12,soc
5eb83f00de449a08d23547dd,911911111991191119111199119111191,14,soc
5def71cd68885201653393ab,911911111911191119119191119111111,14,loc
5ea000d6e849b0000814e9d5,9991199199111111111911111119199119191,22,soc
5ecb879410d64c70d022d544,911119111911191119111911119111111,14,soc
5e6faa06b59a32573bcde7f1,911191119111911111911191111191111911119,23,loc
5e469f9ef0d398000b1f13f2,91119111191199111191191111911911,33,loc
5cb8d06a75c0e10001540418,911111911111111191111111111111191,32,np
5ea5bee3fc11ed5a8a85f26b,99919191119111111199191119199911,33,np
5da250b1106ffc00109177c8,9111111111911191191911911119119,12,soc
5e3adfc595ff562fbdd130fa,91111111911111111111911191111119111111911,11,loc
5d6a24c4f186b3001ae5dfeb,91119111911111111191111191111111111911911,11,np
59dc458f77860e000151240e,111911111911191119111191119111111,14,loc
5ea95301f1853405e031a30d,9911191911991111191191191111,44,soc
5eb3c2e29eb7cb1a6d8054bc,91911199111191111191199111919911,33,loc
5caa2d8967451a0015304067,911911119119111919111191911,34,soc
5cdad620eae6f70019d4e950,199911119999111919111111111,34,loc
5e8b357c8d6ecf023440f7ea,1911191119111911111111911119111119911,41,loc
5ec2d656c999700e29f63932,91111111191911111191111119111,43,np
5c1d234d89f035000172aeb7,19911919191911911199911191919919,24,loc
5898b6e256357700011c2c6b,9191111911111111111911111911111911111,22,soc
58d9a79c33fef3000118abdf,911911919119111919111191111,34,loc
58df90cecc6d9800018c5d58,911119111191111119191111199111911111,31,np
5d7fd2a5987f70001602d95b,1111111911111111191111111111911,12,loc
5dd827c1393bd37c1adb1d47,9119111919911111111911111911111911911,22,loc
56a8bb427f2472000b9522f6,111111111111111991111111111111111999991,23,soc
5e7009d7b3d2255e174696cd,119111119111111119911111111111,21,loc
5ae5e66d3ab2fb0001ef2f3c,911111911111111191111911991111911,32,loc
5cd0ca0e657e300001945935,999119119199191119119911911191,21,soc
5ebf19feee7c5b13537f1d35,991119911191111911111111111111111911111,23,loc
5ea9cf685ce96d13164b381a,11991111119919119119111911911119111,42,np
5bf18310fb616800014fd2dd,1191191111119111111111191111111,13,np
5772908d908f1d0001c38893,91111191119111111191111911191991,24,np
5ebd841ddea21b08a0aa3057,1111119111111111111119911111119911111,41,np
5eca8de81197051fa92b5a6a,91111911111911191119911111111119,24,np
5460ef52fdf99b49ea4b5906,91911199111111191191111111111111,33,loc
59feed1da383a100011b3eaa,911111919119111919111191911,34,loc
5c2bbcc63ea0310001d7257e,191191191191111119191111919111191111,31,loc
5e9fec0f0450b519deaa43a5,99111111911111191191111191111199111991111,11,soc
59de4ee5d838ae0001850567,1111111119111111199191111111,44,loc
561fb820ed6e5a000fc7ec68,919119119111111119111111111191,21,soc
5d026ba86c626e0019202f6a,99911111919111111191111191111119111919111,11,np
5ac607f668b65b00018d60fa,99119119119111191991111111911919,33,soc
5b1386089663ee0001461b6e,911111119119911111191119991111911,14,np
558acd52fdf99b65685f03d9,991111111191191991111111111111111111111,23,loc
5c6fe83f2b44fc000115f3b9,9911111919911111111911111111111111911,22,np
5eb3d22ffa15221c2e0117c5,91191111111919111191111911911111191,42,loc
5c9e773a9ab9320001fbe51c,91111911111919111111111119111,43,np
5bd5a2bd9afb5b00015c8f46,19911919119911191111911111111199,24,np
5a68460063394a000155bc50,9199111919111111111111111111111111111,22,soc
5ac033fa68b65b00018d2c1a,9999999999999911111111111111111111111,41,np
5d6aad2a9c753300019d9f80,11111111111911111191111119111,43,soc
5ec1908afa6533211eb93144,911111111111111119191111111111111111111,23,soc
5e58333d4b439f04b1069026,911191111191111119111191119111911191,31,soc
5d5db7f7ca179000180b17cc,1119911111111111111191199111,44,np
5e53036cd91a8232a99e60fb,9111111911111119111911191111911,12,soc
5e66af6f70f23a07c791f77d,91911119111111111199191111111111,33,loc
5d88b1c27250e90001c40cfc,99119911111111191199111191111199111911911,11,loc
5ea5b32f7e4bd55a4a53f0d6,91999119119911111111111119111,43,loc
5ea201ca3a942a102c3bb83a ,91919111111111111111191111911911,33,soc
5dc486da84799a35fbede98d,991199119191191911119191191919111919119,23,loc
5e9d13e59fb53d1f274065cb,111991119119191119919911111191,21,np
5eaa0e5b3b32cf1b13880d65,9991111111119111911119111111111,13,np
5b12b0651e55760001b9ed8c,11119111111119999911111119111,43,loc
5e90781c06c6ee000974d087,911991911111111919111191119111111,14,soc
5e177578fd7db4082cf06d91,111191111191111119191191119111191111,31,soc
5e93138a7d69590115fa1e21,91119191111111911191199199111119111911911,11,loc
5d0114857be13b0016e991c3,191191999911111919111911111,34,soc
5d03b5abd95b760017c46e18,919119919119191119919111111191,21,loc
57843b986475d400015a8e45,999919111191111111191111119111991111,31,np
5ead3fe551c1bb0009b78154,91111191111111111191119111111111911111111,11,np
5c8ebaed13e167000176428f,91111111111111119111111111911119111,42,loc
5d7036ba34c25f0019dc23e8,991191111191111119191111119111191111,31,loc
56bb3f29724769000cb8e752,9191111919111111111911911911119111911,22,soc
5cfe43f8d09fbc00013a0ee5,91191911111911191119111111919919,24,soc
5e870606f9dd66349540b880,99919191111191111111111191111111111911911,11,soc
5ecc75967c7c76476806ab2b,911111111111111111111111111111191,32,np
5bd9f569eb22f2000183df4e,1191191911191191111119199111,44,soc
599766b07eaf20000139e40d,9111191119111911111111911111119111911,41,soc
5ea0002d88f78b1aa69ca675,919111911111111191191919111111911,32,soc
5601379877f33b0010cb2b98,111911111911111119119191119111991,14,np
5ea611dda778214a5e89fbf2,91919111111119111991911119911199111911191,11,np
5e54309f0a98c705f68ae8a8,91111111111111119111111111911111111,42,loc
5eb06daa9731700fd96fe238,91911191119111111191191119111191,33,loc
5e5e5b2488479216d9171d1b,9119111111199111911119191911111,13,loc
5e6d582420f68f0111cf8319,9191111911111111111111111111111199111,22,np
5c5c8a688089970001788f30,911111119111111191119111111191,21,loc
5cbbd55510241a0017b81a65,9111111911911111191191191111,44,np
5eb9f23b81d742132c863749,911111111111111911111111111111911111,31,soc
5dcc7958dcc83f912f590fe4,91191111111119111191111119111,43,soc
5ed4c62cf9e3434938ff58b0,99111911111999911119999111111999,24,loc
5eac12072b68452228ea8a40,1199911999199111191111111191911,12,np
5e8df0f227e1b80797b9c509,91111111111111111191111111911191,33,np
5eaec18fbb7b8901200d16dd,111199119191111119111111119111191111,31,loc
5ea624b32b24666209c18941,911919119911191119111191119111111,14,loc
5d4a0765eae90d0019a6265a,1111111911111111191191111111,44,loc
5e17061ce80b8e000b364915,91991111111911119999911119191,43,loc
5eda87495833de699dd92655,999111911111191111119111111111111911191,23,soc
5c6b03919491820001435d81,111119919119111919111111911,34,loc
5d891e6c58e42400182bca83,1191111119911111111111919111199199191,22,loc
5e373f33a42bce6daa55ea65,9111119999191999111111911119111919911,41,loc
 5e83abb4e0a2e40fd565226d,1199111111911911919119191119111,13,loc
5ec20598203e9e2e8a2855e0,91911119911111111191111111911111,33,loc
5f5b550f46c58b26f4ce4397,11999111111911191199111991111111,24,soc
5f514f60277f9b3787539994,9191119119119111919119191111111,13,np
5f6e2f793c9b1032dbe72def,91911911919111191111191111191911,33,soc
5edabd929d0c9370d88ed85a,911191111119111191111911191119111,32,loc
5e46f490a5748507c57e3c5f,99111911191919191119111111119191,24,soc
5f203e1ad9c1a22d146fd31c,9191111911111111119111111191111911911,22,soc
5edfb0770fb0722aa3839b6d,911911919119111919111991111,34,soc
5f4cfe26fc6fe994078bedd3,191119119911191191119191111111911,14,soc
5f2878286f2b241597c9d564,911111111191111119119111119111111111,31,np
5ee7c65630668708f3ae178e,991191111191111119191111119111191111,31,soc
5d47abcc2dc88900166f27c9,9191111111111111111111119111111111111,22,np
5f6c72f5500db10161918ca4,11919111911111111111111111111111111111111,11,soc
5f5fe3f8a0a5c20c2f5e2673,1111119191111111111111111111111,12,np
5f5256395d41a44db7a74fcd,11111911191111199119111119119191,24,np
55b6ed4afdf99b437183fa6f,919111199119111191191119991191919,32,np
56f9364e895094000c8f4967,1911111111111191111111119119111,12,loc
5bf17270871dd1000197226e,111199111199999999999111111111111,32,loc
5eb074c7e612c1129942044c,19911919191199111111191111911911,33,loc
5f4d953dc185c2a72d7d56ab,911191191191111119191111119111911111,31,loc
5f310597fa30e40469c8da6e,91111111111111111111199191111111111191111,11,soc
5f3153a6180dcf0d8dd72a45,11991911199199111119911119191,43,soc
596d9b437f8c1e00017cbb58,91191919111911191119111111911119,24,soc
5f420cd40061580008f221a9,911111119119111919111191911,34,loc
5d305152b2cfe00019231a2a,11119111191111911111111191111111111911111,11,np
5f4d2495564c0687df102deb,191919111911191199111191919111999,14,soc
5f4a68e4d8963d5e469541f1,9119111111191111911111191111111,13,np
5ed9c0336cb961557325f482,9111111911191111111111191111,44,loc
5f715998dddddd783c24fb3a,991111911111111111111111111,34,loc
570521cfde5095001018a0c8,9111111199111111111119111119111911911,41,soc
5f6099ec11c341042ad16572,911991111911191119111191119111111,14,loc
5c2789fc1694480001e4c4e3,111911191111911111119111119111111119111,23,soc
561bbdf9811d22000df3138a,91119111911111111111911191111111111911191,11,loc
5ecd4acdb218ec085c6eefe6,19119111111191119191191919119,43,soc
5f2c65d222cb591283c31f94,9111111111111111911111111111111,13,np
5f1aef0d7a71b602c6e896a9,9991919119111911119119911119111911911,41,loc
5e31c0590d43621a12346787,11999919111911111111191111111919,24,loc
5f621effe45bc22013725bb3,1199911119119111111111919111111119911,41,np
5eeab761609f0d1df85d61bf,9119911111191199111111119111111,12,np
5f4938236f4ed910789a1307,9119911111191111111111111911111,13,loc
5f44b9382561d4000a8740e9,9191111911191111191191191911,44,loc
5f500418133110165a1539a9,119911119111911191111111111111111,32,np
5f341608419544118810642b,91191111111911111111911111111119,24,soc
5f52afc954863a5bd06a1665,91991111199911111191111119111,43,loc
5d8aafe09d72b20019dc66d3,9111911111111111111111119111111,12,np
559e6830fdf99b4f0b98514a,99919991111911111191111119111,43,loc
5f284fd0150c080d0ea76ba9,1111191111111111111111999919999191999,41,np
5ed427e3bcd0c00b58a177c0,111119111111911911191111111111111111119,23,soc
56b4b565b2de2a000d3316ba,91119111111991191191111191111199111991111,11,np
5f325ad3c8616a1b5f8c7bd4,111911119111191119111191119111911,14,loc
5bdbf2d92562330001b8d056,91111911111911111111911111111919,24,loc
5f2daab26e6e930b7efa5e43,9111191119111111111111111911111111911,22,soc
5f412edd92e1a507ee9fe927,1199111111119111991119111111111,13,np
5f68cb292206110444d6f70f,91911199119111911191911919991991,33,loc
5f3be9f1b94de89725efe883,99919119119111911191191119919919,33,np
5f6d646d819cf31de8f64a78,911199111911199119991191119111111,14,soc
5a282206b279aa0001b0e002,991911119111199119919199991111911,14,soc
5e0bf8b8a99550400f02fb16,9111911111191111111111119111111,12,np
5f624b386de648283726e453,9119191119911111911119191111111,13,loc
5cb62855a8a6d400176eca83,911911911191911911911111911191111911191,23,soc
5dce9f0c867a25197d6944c5,91911111111111119111111111191119111,42,soc
5f8b1c0849eea7208ee49a38,911119119111191111919111111111,21,loc
5f2ef358d45f6110ad8ba935,91991111111199111111119911991919911,42,soc
5f47f19248a89010ebae8705,9111111111111111191191111111,44,loc
5a790a908fe2dc0001058b37,9191111911111111111111911199111911991,22,np
5c7af0dc9782c300011cd107,911111999119111919111191999,34,soc
5e6a81569f3af202438c5fde,911111911191191111111111191111111111111,23,soc
5e3dff6b8714b707b9a258b0,99119919991111999191111191111119111911191,11,soc
5ee551895cb6e20f96c7d44a,11919111111911191111111191191191911911919,11,soc
5f32aab12a9f82000854c3ea,9111119111111119111111111119111111111,41,np
5f84d54bdf92611a668a68cd,9111199119111991119119911119111919911,41,loc
58d7d2c2e9b6dc000129148a,9111111111191111111111119111111,12,loc
5c52436f5acab700012608b9,91111111119111119191191111911911,33,soc
5c0fa2324324e80001c951c9,9111119111191111111191111111111,12,np
59d75f1b8fd07a0001841feb,1111199119191911119119911119119999991,41,loc
 5f69edea0450c300083bcffd,19111991111111111111111111199199,33,soc
5f8e26c14662151fcb6d07b7,1199111191111111911911119119119119111,22,np
5f129bc4329d461f67269693,999111911119111191111111911111919,32,loc
5d7b2e78698dea001853b5ec,191911911991199111999191191919,21,loc
5eb1cc5bbd95623229c961a5,9191111911111111191111119119111191111,22,soc
5f8e2a9201810e1f2b9f63a2,91119119111111111911191111191111,33,soc
5dd9df0e946f7c97406a55ea,11991111111111911999111911911111111,42,loc
5e30e028dea8d60e2ab7abd6,99991111111111111111991191111111111111911,11,soc
5e8ba701c2bb4d085e04cd58,9111111111111911111111111119119111911,41,soc
5f3a99865242340d71f85620,9111911111191191111111119119111,12,loc
5f437f00446374209d7b65b0,911191111111191119111191119111111,14,soc
5ef14bb31a0ed51490300e43,9191119911911111911111191911999111991,22,soc
5f3ed5c238cf461818f961b0,991191191191111119191111119111191111,31,loc
5f447effce2acb7bc4597091,9191119111191111911119111111111,13,np
5f6e36c7f042f033d0f97bc1,9111111119111111111111111111111111111,41,loc
5e63e793e50a6316a75213c4,9111191119111911111119111119119111911,41,soc
5f8bad1242efeb2f49156f51,911111191119111191191111911111911,32,np
5f5fffc902adba0e8f3fdb75,9111119111111111111911111911111919191,22,soc
5f36fd428aad73167e67aa24,9191119111191119911119191111111,13,np
5d23d88ba60539001ba16192,9911911111191191111111119111111,12,loc
5f847731c01dbb0d347c5d77,9111911111111911991191191111,44,loc
5f4e840d4450000871b57da0,1119111111119911911119191111111,13,loc
5f8a1cef1ec75e0cdb918a9e,911111911119111191111111991111119,32,loc
5f5588eb6fb28c959e202247,9111111111191111111111111111111,12,np
5f19d535ece875077bbe5cc7,91111911191911111111111119111,43,soc
5f8ead4b2d456102ab13c2f5,91199919111111111111911191111111111111119,11,loc
5f755d193f0e351d892c4453,9111111119111111111119111111111911111,41,soc
5726570ef2a83f000f6aea6d,991111111191111111111111111111119111,31,loc
5f8c868613143e0cf115cf57,999119119111191111999111111191,21,loc
5e76c87c0fd39b22d52eba04,9199119111199111991119191111111,13,loc
5f13333fd005e8300e62faba,111111111191111119191111199111199111,31,np
5f49c04f647fdf40b0c5f9cb,1111199111111919111119911119111919911,41,np
5f8811c8230ebd25db3d3c4d,191119111119919199199111111199991,32,loc
5e67032bc302df492496fbaa,9191111111119111919111111911111,13,np
5f6e3dc9850e4935c0fff202,91911191119111191191191119911999,33,soc
5f5b42c37c4b0a25b79e7c01,9111199911111919119119111111111911111,41,loc
5d7af4ee784e52001b9b02da,19919119191999119191191919191919119199111,11,np
5f52c66cf5bba95cf9f90c66,19999111111111119119111191111119111911191,11,loc
5f8b066742a6381ddae03d75,11919199111111999991199111911111,33,loc
5aa506f2dbdb470001ef4a4d,111199911191991911919111111111111119991,23,np
5a4c162ed5b53b0001f822d3,9991111911111111111111111191111111911,22,loc
5fa48e06e214730d551f1de7,91191111111119119199111111111911199,42,np
5fa46c0a5fc245089e298c1d,99991111111111111111111111111111,24,np
5f91fcd0d41fea101c469878,911111111111111911119111111111111111111,23,np
5f4d28042377a099e99eec79,911911111911191119119191119111111,14,np
5dfd54194b49a1a5f2cb605d,999999999911191199911111111111111119199,23,np
5f46a1b4636f0603abf294a1,111111911111111991111111111111111111111,23,np
5f8f54f056dee01a45a09147,991911119119111119111911111111,21,soc
5f14cc91fe732f56204b3e6e,999911119119111919111191911,34,np
55a47692fdf99b126e625257,9999111911191111999191199119,44,np
55ed87f0748092000baa9a0b,91991111111111119111111111911119911,42,np
5d4dd26210d0030001134f37,91111191111111119111111111911111911,42,soc
5c5aecc774a76f0001a25ced,9191111111111111111111111111111,13,soc
5f13a3983c6e2c3b2783f2f1,1199999999991119111111191111191,13,soc
5ec885ed5583f336538f0a23,1111111911191111111911111111111,12,soc
5dd1964987c1fd2082c4d88e,991999111111111111111111111111111111,31,soc
5f94a8e7fa8c422fc88940b0,911119119119191119111911111111,21,np
5f4f29b8c154ed17df64546b,911119111111111119111111191,34,np
5ab942eca3ba7a0001b41f88,911111111111111911111111191111111111111,23,np
5f91ad1383e7f604b18ae4cb,999111191191111119191111119111191111,31,np
594425f07ccfd00001d3f462,911191111111111119111911911111,21,soc
5a2d792729374e0001420491,9199111111119111911119191111111,13,soc
5f4fe426bc50f511ff591125,1991911119111111111911111111111111911,22,loc
55bb74f1fdf99b1519ef4762,991991191111911119911191111191,21,soc
5f52e45ad408d55fa156aa21,91119111191119111111111119111,43,np
5d547e546df1cb001a4a44e9,911111111111111111111111111119,21,np
5f887e3ad49914010f5bac68,919111111111111111111111111111,21,np
583db8742b21bf0001016d1b,9111111111111111119111119111111,12,soc
5f68293531178c45eb421365,91191911111911111111111119111,43,np
5e79340b6d9a624e3f39586d,9111199911911119111911191191119119111,22,loc
5f85e3bf2534c80d25968033,9111199111191111991191191911,44,soc
5d1d073e2741ce0019113c67,911111911119111919111991911,34,np
5f0d6c9bb43cfb0182a9d464,11911999999111119191111911911111191,42,np
597fe89a1b41a20001749f57,911911111911191119111191119111911,14,np
5dd8c6e24c97928688acd05d,911111199119111191111119991111911,32,soc
5ac2f7e35cd1050001621c00,119111911191111119111111111191,21,np
5eb1bfe57e59240f9097f59d,91919111111191111191111911111191111,42,np
5b97f8988ae8150001c7a887,11911911911911919991119919911911919,42,np
5e667f3bc3f30a4050fc8f2f,999199111119911191111111999911111,32,soc
5fb58aa342f3ba024a1ca7e5,9911191911991111991191119111,44,soc
5faae458b9fcb7531b852974,911111991999111191111919911111111,32,soc
5f40442792000717762de583,911111191119111191111919191111911,32,soc
5f8cfc8b9a3e411835aa31be,999999919119111111111191111,34,np
5faa598de2b35a341189d27c,1191111911919119119111111119111,13,soc
5b9f666bcc5dd0000166ce65,9111191911191911911191191111,44,soc
5c6f00110b99a000018cc3c1,991111119111111111111111111,34,np
5dfc64647adf4b971f329cbf,111911111111111111111111111111919,32,soc
